session_id,step,total_steps,agent,action,tool,latency_ms,data_volume_kb,permission_level,external_destination,error_flag,label
TRACE-00001,1,15,researcher,summarize,none,561,29.395449284914204,0,0,0,retrieval_poisoning
TRACE-00001,2,15,writer,respond,none,589,37.53608126358476,1,0,0,retrieval_poisoning
TRACE-00001,3,15,planner,tool_call,calculator,317,60.72934166666168,1,0,0,retrieval_poisoning
TRACE-00001,4,15,writer,handoff,none,481,36.59227439940677,2,0,0,retrieval_poisoning
TRACE-00001,5,15,planner,untrusted_retrieval,external_search,980,245.0,1,1,0,retrieval_poisoning
TRACE-00001,6,15,planner,summarize,none,320,31.755374856626347,0,0,0,retrieval_poisoning
TRACE-00001,7,15,researcher,handoff,none,430,33.09559813313703,1,0,0,retrieval_poisoning
TRACE-00001,8,15,planner,tool_call,vector_db,644,12.482399706901466,1,0,0,retrieval_poisoning
TRACE-00001,9,15,analyst,tool_call,vector_db,539,20.09254861209258,0,0,0,retrieval_poisoning
TRACE-00001,10,15,writer,retrieve,vector_db,494,285.0,1,0,1,retrieval_poisoning
TRACE-00001,11,15,planner,retrieve,none,488,15.19763649712059,0,0,0,retrieval_poisoning
TRACE-00001,12,15,writer,handoff,none,492,36.99445715647463,0,0,0,retrieval_poisoning
TRACE-00001,13,15,analyst,retrieve,none,202,7.613727803349708,1,0,0,retrieval_poisoning
TRACE-00001,14,15,researcher,respond,none,530,11.65715831756395,0,0,0,retrieval_poisoning
TRACE-00001,15,15,writer,retrieve,none,485,31.884910217450145,1,0,0,retrieval_poisoning
TRACE-00002,1,9,analyst,handoff,none,446,31.473911609007367,0,0,0,benign
TRACE-00002,2,9,planner,tool_call,internal_api,281,19.398010165102683,1,1,0,benign
TRACE-00002,3,9,writer,tool_call,internal_search,545,92.82879633122573,2,0,0,benign
TRACE-00002,4,9,writer,retrieve,none,357,15.916182524849274,1,0,0,benign
TRACE-00002,5,9,researcher,tool_call,internal_search,347,25.57109466588867,1,0,0,benign
TRACE-00002,6,9,planner,retrieve,none,275,14.316457074545172,1,0,0,benign
TRACE-00002,7,9,analyst,respond,none,396,25.833510236615087,0,0,0,benign
TRACE-00002,8,9,researcher,respond,none,445,74.39045467068698,1,0,0,benign
TRACE-00002,9,9,researcher,summarize,none,585,36.539638959973985,0,0,0,benign
TRACE-00003,1,15,analyst,handoff,none,639,9.713125682482035,1,0,0,retrieval_poisoning
TRACE-00003,2,15,planner,handoff,none,470,67.58470150357601,1,0,0,retrieval_poisoning
TRACE-00003,3,15,writer,summarize,none,288,20.343325816660187,1,0,0,retrieval_poisoning
TRACE-00003,4,15,analyst,respond,none,347,20.45476918479201,1,0,0,retrieval_poisoning
TRACE-00003,5,15,researcher,untrusted_retrieval,external_search,980,245.0,0,1,0,retrieval_poisoning
TRACE-00003,6,15,planner,tool_call,vector_db,376,6.421477888474047,0,0,0,retrieval_poisoning
TRACE-00003,7,15,writer,summarize,none,97,23.445799233093048,1,0,0,retrieval_poisoning
TRACE-00003,8,15,writer,retrieve,none,405,4.344301985856473,0,0,0,retrieval_poisoning
TRACE-00003,9,15,researcher,summarize,none,855,9.0491251177878,0,0,0,retrieval_poisoning
TRACE-00003,10,15,writer,retrieve,vector_db,485,285.0,0,1,1,retrieval_poisoning
TRACE-00003,11,15,writer,handoff,none,336,37.64070999044946,0,0,0,retrieval_poisoning
TRACE-00003,12,15,writer,respond,none,467,24.70717897632885,1,0,0,retrieval_poisoning
TRACE-00003,13,15,writer,retrieve,none,459,9.656706244156794,0,0,0,retrieval_poisoning
TRACE-00003,14,15,writer,summarize,none,253,18.064560025459237,1,0,0,retrieval_poisoning
TRACE-00003,15,15,researcher,tool_call,internal_api,640,1.023258743175411,1,0,0,retrieval_poisoning
TRACE-00004,1,14,analyst,retrieve,none,370,25.419907501799226,0,0,0,benign
