session_id,event_count,agent_count,tool_call_count,unique_tool_count,external_call_count,privileged_action_count,max_permission_level,error_rate,mean_latency_ms,max_latency_ms,total_data_volume_kb,handoff_count,retrieval_count,suspicious_tool_count,instruction_override_count,untrusted_retrieval_count,label
TRACE-00001,6,3,1,2,1,1,2,0.0,541.3333333333334,980,441.0085214711938,1,1,1,0,1,retrieval_poisoning
TRACE-00002,4,3,2,2,1,1,2,0.0,407.25,545,159.61690063018506,1,1,0,0,0,benign
TRACE-00003,6,4,1,2,1,0,1,0.0,516.6666666666666,980,369.5174000759843,2,1,1,0,1,retrieval_poisoning
TRACE-00004,6,4,1,1,0,1,2,0.0,463.0,568,133.88361700306575,2,2,0,0,0,benign
TRACE-00005,4,3,0,0,0,0,1,0.25,293.5,540,211.64957051920376,1,0,0,0,0,benign
TRACE-00006,5,4,0,0,0,0,1,0.0,394.6,560,198.37466490410102,2,1,0,0,0,benign
TRACE-00007,5,3,0,0,0,1,2,0.2,367.2,457,222.5068367037282,2,0,0,0,0,prompt_hijacking
TRACE-00008,8,4,3,2,0,0,1,0.125,289.0,542,250.94623626001027,0,2,0,0,0,benign
TRACE-00009,5,3,5,3,0,0,1,0.0,369.0,476,154.47705484479224,0,0,0,0,0,benign
TRACE-00010,7,3,3,3,0,1,2,0.0,411.57142857142856,650,245.9408785398805,1,1,1,0,0,benign
TRACE-00011,7,3,1,1,0,0,1,0.14285714285714285,400.57142857142856,567,182.9610731749591,0,4,0,0,0,benign
TRACE-00012,5,3,1,1,0,0,1,0.0,435.4,788,155.7368143367993,0,2,0,0,0,benign
TRACE-00013,8,2,1,1,0,0,1,0.0,443.875,720,222.15196337649567,1,4,0,0,0,tool_redirection
TRACE-00014,4,3,0,0,0,1,2,0.0,309.75,510,81.74231092026236,1,1,0,0,0,retrieval_poisoning
TRACE-00015,7,4,0,0,0,0,1,0.0,383.14285714285717,564,99.61571242972568,0,2,0,0,0,benign
TRACE-00016,7,4,0,1,1,0,0,0.0,497.2857142857143,980,412.0510308855637,3,3,1,0,1,retrieval_poisoning
TRACE-00017,5,4,1,1,0,0,1,0.0,429.4,589,112.37570180174427,0,0,0,0,0,benign
TRACE-00018,6,2,2,2,0,1,2,0.0,425.0,535,244.90529054139995,1,1,0,0,0,prompt_hijacking
TRACE-00019,6,3,5,3,0,0,1,0.0,467.1666666666667,614,81.72476692580143,0,0,0,0,0,benign
TRACE-00020,5,3,1,1,0,0,0,0.0,397.2,519,147.9055572959126,2,1,0,0,0,tool_redirection
TRACE-00021,7,2,0,0,0,0,1,0.0,405.14285714285717,770,233.4999931852301,1,2,0,0,0,benign
TRACE-00022,6,3,1,1,0,1,2,0.16666666666666666,449.5,780,215.1735044116944,3,0,0,1,0,prompt_hijacking
TRACE-00023,5,3,2,2,0,3,2,0.0,449.6,601,292.54640244619986,2,0,0,0,0,benign
TRACE-00024,6,4,2,2,0,0,1,0.0,340.5,652,174.08070079693047,1,1,0,0,0,retrieval_poisoning
TRACE-00025,6,4,2,2,0,0,1,0.0,387.1666666666667,635,202.2642446677907,1,2,0,0,0,benign
TRACE-00026,7,3,2,2,0,0,1,0.2857142857142857,415.57142857142856,637,222.83404477153917,1,2,0,0,0,benign
