session_id,event_count,agent_count,tool_call_count,unique_tool_count,external_call_count,privileged_action_count,max_permission_level,error_rate,mean_latency_ms,max_latency_ms,total_data_volume_kb,handoff_count,retrieval_count,suspicious_tool_count,instruction_override_count,untrusted_retrieval_count,label
TRACE-00001,15,4,3,3,1,1,2,0.06666666666666667,503.46666666666664,980,895.0269579152838,3,5,1,0,1,retrieval_poisoning
TRACE-00002,9,4,3,2,1,1,2,0.0,408.55555555555554,585,336.26805623789494,1,2,0,0,0,benign
TRACE-00003,15,4,2,3,2,0,1,0.06666666666666667,473.1333333333333,980,782.4490403922914,3,4,1,0,1,retrieval_poisoning
TRACE-00004,14,4,5,4,0,2,2,0.14285714285714285,486.57142857142856,660,366.0234923305762,3,4,0,0,0,benign
TRACE-00005,10,4,3,1,0,0,1,0.1,378.3,581,400.82474298344147,1,2,0,0,0,benign
TRACE-00006,12,4,2,2,0,0,1,0.08333333333333333,397.9166666666667,560,369.08758435919634,4,3,0,0,0,benign
TRACE-00007,11,3,1,1,1,2,3,0.18181818181818182,399.6363636363636,637,731.7889761140802,4,1,1,0,0,prompt_hijacking
TRACE-00008,18,4,6,4,3,1,2,0.1111111111111111,394.22222222222223,689,692.4675908372433,2,4,0,0,0,benign
TRACE-00009,11,4,6,3,0,2,2,0.0,391.1818181818182,565,416.53920577617293,3,1,0,0,0,benign
TRACE-00010,16,4,6,4,0,2,2,0.0,409.4375,756,475.23279592067183,1,4,1,0,0,benign
TRACE-00011,17,4,2,2,0,1,2,0.058823529411764705,420.47058823529414,643,527.201950493665,4,7,0,0,0,benign
TRACE-00012,12,4,3,3,0,2,2,0.0,405.0,788,444.26483622963434,2,5,0,0,0,benign
TRACE-00013,18,4,4,4,1,3,3,0.05555555555555555,412.27777777777777,720,865.0745501411533,6,5,1,0,0,tool_redirection
TRACE-00014,10,3,1,1,0,2,2,0.1,437.6,754,471.3240116212983,3,4,0,0,0,retrieval_poisoning
TRACE-00015,16,4,1,1,0,0,1,0.0625,364.75,564,390.40457029893105,1,5,0,0,0,benign
TRACE-00016,17,4,1,3,1,3,2,0.058823529411764705,413.29411764705884,980,943.1827572053045,4,6,1,0,1,retrieval_poisoning
TRACE-00017,11,4,5,4,0,0,1,0.09090909090909091,416.1818181818182,589,323.64528956477295,0,0,0,0,0,benign
TRACE-00018,14,4,5,5,3,2,3,0.07142857142857142,378.57142857142856,573,717.7244577706268,3,2,1,0,0,prompt_hijacking
TRACE-00019,13,4,7,4,1,1,2,0.0,390.53846153846155,614,313.78300962703054,1,3,0,0,0,benign
TRACE-00020,11,4,2,2,1,2,3,0.0,448.45454545454544,848,663.6308297611507,6,2,1,0,0,tool_redirection
TRACE-00021,16,4,3,2,0,0,1,0.0,364.5625,770,503.119356974892,4,4,0,0,0,benign
TRACE-00022,14,4,4,3,1,2,3,0.07142857142857142,411.57142857142856,780,716.2358314298782,5,2,1,1,0,prompt_hijacking
TRACE-00023,11,3,4,3,0,3,2,0.0,427.54545454545456,658,348.738210107627,3,0,0,0,0,benign
TRACE-00024,14,4,5,4,0,0,1,0.07142857142857142,351.2142857142857,652,542.0032411223491,3,2,0,0,0,retrieval_poisoning
TRACE-00025,15,4,4,2,0,1,2,0.0,445.1333333333333,668,602.7190422560021,2,4,0,0,0,benign
TRACE-00026,17,4,5,3,0,2,2,0.11764705882352941,447.0,696,425.2843882312854,3,4,0,0,0,benign
TRACE-00027,18,4,4,3,0,2,2,0.05555555555555555,487.22222222222223,815,542.5504742363696,4,7,0,0,0,benign
TRACE-00028,10,4,2,2,1,3,3,0.0,480.6,780,591.423859630477,2,2,1,1,0,prompt_hijacking
TRACE-00029,17,4,4,3,0,1,2,0.058823529411764705,471.11764705882354,769,497.44962963180257,2,6,0,0,0,benign
TRACE-00030,11,4,2,2,1,1,2,0.0,396.0,578,282.48816190806,2,2,0,0,0,benign
TRACE-00031,10,3,3,2,0,0,1,0.0,394.8,666,335.7675992828958,3,2,0,0,0,benign
TRACE-00032,18,4,3,3,0,0,1,0.05555555555555555,414.77777777777777,615,394.0018839155672,6,4,0,0,0,benign
TRACE-00033,12,3,6,4,1,2,3,0.0,483.25,780,764.6482011540945,0,2,1,1,0,prompt_hijacking
TRACE-00034,17,4,2,1,0,0,1,0.0,411.47058823529414,728,479.5247061504972,3,6,0,0,0,benign
TRACE-00035,18,4,6,4,1,3,3,0.0,434.72222222222223,707,910.0505681567424,4,6,2,0,0,tool_redirection
TRACE-00036,15,4,4,3,0,2,2,0.06666666666666667,393.1333333333333,634,489.1549687447281,7,2,0,0,0,benign
